time,bid_ask
2023-12-23 17:47:58.149200,1.46
2023-12-23 17:48:58.149624,1.46
2023-12-23 17:49:58.161506,1.57
2023-12-23 17:50:58.167040,1.48
2023-12-23 17:51:58.169672,1.52
2023-12-23 17:52:58.181744,1.46
2023-12-23 17:53:58.187205,1.46
2023-12-23 17:54:58.191821,1.46
2023-12-23 17:55:58.200420,1.46
2023-12-23 17:56:58.207667,1.46
2023-12-23 17:57:58.213774,1.46
2023-12-23 17:58:58.215326,1.46
2023-12-23 17:59:58.225531,1.46
2023-12-23 18:00:58.235633,1.46
2023-12-23 18:01:58.241461,1.46
2023-12-23 18:02:58.251628,1.46
2023-12-23 18:03:58.263697,1.46
2023-12-23 18:04:58.270477,1.46
2023-12-23 18:05:58.285873,1.46
2023-12-23 18:06:58.293948,1.46
2023-12-23 18:07:58.297094,1.46
2023-12-23 18:08:58.305903,1.46
2023-12-23 18:09:58.318821,1.46
2023-12-23 18:10:58.331732,1.46
2023-12-23 18:11:58.339826,1.46
2023-12-23 18:12:58.340212,1.46
2023-12-23 18:13:58.341936,1.46
2023-12-23 18:14:58.352037,1.48
2023-12-23 18:15:58.361608,1.46
2023-12-23 18:16:58.365505,1.46
2023-12-23 18:17:58.378970,1.46
2023-12-23 18:18:58.383858,1.46
2023-12-23 18:19:58.385371,1.46
2023-12-23 18:20:58.393515,1.46
2023-12-23 18:21:58.397910,1.49
2023-12-23 18:22:58.404159,1.46
2023-12-23 18:23:58.415832,1.48
2023-12-23 18:24:58.431763,1.46
2023-12-23 18:25:58.445720,1.46
2023-12-23 18:26:58.447525,1.46
2023-12-23 18:27:58.456911,1.46
2023-12-23 18:28:58.461431,1.46
2023-12-23 18:29:58.463749,1.56
2023-12-23 18:30:58.464450,1.46
2023-12-23 18:31:58.466066,1.46
2023-12-23 18:32:58.478006,1.46
2023-12-23 18:33:58.489617,1.46
2023-12-23 18:34:58.491543,1.46
2023-12-23 18:35:58.494060,1.46
2023-12-23 18:36:58.505527,1.68
2023-12-23 18:37:58.512258,1.46
2023-12-23 18:38:58.515900,1.46
2023-12-23 18:39:58.523680,1.46
2023-12-23 18:40:58.535626,1.46
2023-12-23 18:41:58.549488,1.46
2023-12-23 18:42:58.561762,1.46
2023-12-23 18:43:58.563606,1.46
2023-12-23 18:44:58.574613,1.63
2023-12-23 18:45:58.579854,1.62
2023-12-23 18:46:58.587372,1.46
2023-12-23 18:47:58.593524,1.46
2023-12-23 18:48:58.608305,1.46
2023-12-23 18:49:58.612868,1.46
2023-12-23 18:50:58.617408,1.46
2023-12-23 18:51:58.624444,1.46
2023-12-23 18:52:58.635564,1.46
2023-12-23 18:53:58.649880,1.46
2023-12-23 18:54:58.659604,1.46
2023-12-23 18:55:58.667582,1.46
2023-12-23 18:56:58.679537,1.46
2023-12-23 18:57:58.679584,1.46
2023-12-23 18:58:58.680258,1.46
2023-12-23 18:59:58.681724,1.62
2023-12-23 19:00:58.686767,1.46
2023-12-23 19:01:58.695298,1.46
2023-12-23 19:02:58.707486,1.46
2023-12-23 19:03:58.711996,1.46
2023-12-23 19:04:58.722687,1.65
2023-12-23 19:05:58.733635,1.46
2023-12-23 19:06:58.745946,1.97
2023-12-23 19:07:58.760303,1.46
2023-12-23 19:08:58.761250,1.46
2023-12-23 19:09:58.767161,1.46
2023-12-23 19:10:58.777200,1.96
2023-12-23 19:11:58.787991,1.46
2023-12-23 19:12:58.789690,1.46
2023-12-23 19:13:58.805507,1.46
2023-12-23 19:14:58.817980,1.46
2023-12-23 19:15:58.827961,1.46
2023-12-23 19:16:58.833698,1.46
2023-12-23 19:17:58.843334,1.46
2023-12-23 19:18:58.843883,1.46
2023-12-23 19:19:58.845443,1.46
2023-12-23 19:20:58.853880,1.46
2023-12-23 19:21:58.867303,1.46
2023-12-23 19:22:58.868343,1.46
2023-12-23 19:23:58.877580,1.46
2023-12-23 19:24:58.891084,1.46
2023-12-23 19:25:58.891409,1.46
2023-12-23 19:26:58.899684,1.46
2023-12-23 19:27:58.899814,1.46
2023-12-23 19:28:58.901077,1.71
2023-12-23 19:29:58.909879,1.46
2023-12-23 19:30:58.921484,1.46
2023-12-23 19:31:58.927403,1.46
2023-12-23 19:32:58.943605,1.46
2023-12-23 19:33:58.957196,1.63
2023-12-23 19:34:58.965187,1.46
2023-12-23 19:35:58.965292,1.54
2023-12-23 19:36:58.969925,1.46
2023-12-23 19:37:58.977869,1.46
2023-12-23 19:38:58.989571,1.46
2023-12-23 19:39:58.997360,1.51
2023-12-23 19:40:59.004040,1.46
2023-12-23 19:41:59.007215,1.46
2023-12-23 19:42:59.019413,1.46
2023-12-23 19:43:59.028901,1.46
2023-12-23 19:44:59.031124,1.46
2023-12-23 19:45:59.035396,1.46
2023-12-23 19:46:59.037955,1.46
2023-12-23 19:47:59.040958,1.46
2023-12-23 19:48:59.053877,1.46
2023-12-23 19:49:59.063695,1.46
2023-12-23 19:50:59.067051,1.46
2023-12-23 19:51:59.070619,1.46
2023-12-23 19:52:59.085846,1.46
2023-12-23 19:53:59.087270,1.46
2023-12-23 19:54:59.104102,1.46
2023-12-23 19:55:59.105808,1.62
2023-12-23 19:56:59.119700,1.46
2023-12-23 19:57:59.121274,1.76
2023-12-23 19:58:59.130281,1.46
2023-12-23 19:59:59.143769,1.46
2023-12-23 20:00:59.149439,1.46
2023-12-23 20:01:59.165591,1.46
2023-12-23 20:02:59.179577,1.46
2023-12-23 20:03:59.185465,1.46
2023-12-23 20:04:59.195146,1.48
2023-12-23 20:05:59.202946,1.46
